"Ref","Status","OccCode","OccDescription","Refund","Estimate","TaxIncome","LodgeDate"
"KANE0002","10","","","","0.00","0",""
"KANE0003","10","","","","0.00","0",""
"KAPA0001","10","","","","0.00","0",""
"KAPA0002","10","","","","0.00","0",""
"KAUF0001","10","441312","Police officer","","198.75","95026",""
"KAUR0001","10","","","","0.00","0",""
"KAVA0001","6","441312","Police officer","","1059.30","103114","02/08/2023"
"KAVE0001","10","","","","0.00","0",""
"KAYE0001","10","","","","0.00","0",""
"KEAN0001","10","","","","0.00","0",""
"KEEN0001","10","","","","0.00","0",""
"KEEN0002","6","441312","Police officer","Y","4421.42","61219","26/07/2023"
"KEGL0001","6","441312","Police officer","Y","1606.42","109558","28/07/2023"
"KELL0001","10","","","","0.00","0",""
"KEND0001","10","","","","0.00","0",""
"KENN0001","10","","","","0.00","0",""
"KENN0002","6","441312","Police officer","Y","1074.78","122098","28/07/2023"
"KENN0003","6","441312","Police officer","Y","801.64","97205","19/07/2023"
"KENS0001","10","","","","0.00","0",""
"KERS0001","10","","","","0.00","0",""
"KERS0002","10","","","","0.00","0",""
"KHAR0001","10","","","","0.00","0",""
"KIDD0001","10","","","","0.00","0",""
"KINA0001","1","","","","1343.95","147961",""
"KING0001","10","","","","0.00","0",""
"KING0002","0","","","","0.00","0",""
"KLEI0002","10","","","","0.00","0",""
"KLOU0001","10","","","","0.00","0",""
"KNIG0001","10","","","","0.00","0",""
"KNOW0001","6","441312","Police officer","Y","1560.19","85127","19/07/2023"
"KOMB0001","5","441312","Police officer","Y","837.21","81210",""
"KOOC0001","10","","","","0.00","0",""
"KOOC0002","10","","","","0.00","0",""
"KOUT0001","6","441312","Police officer","","99.05","94423","14/07/2023"
"KOWA0001","6","441312","Police officer","Y","5969.84","84192","19/07/2023"
"KRUG0001","4","441312","Police officer","Y","1779.29","108418",""
"KRUG0002","6","511112","Admin officer-Local Council","","979.85","90314","11/08/2023"
"KRUG0003","10","","","","0.00","0",""
"KUCA0001","10","","","","0.00","0",""
"KULL0001","10","","","","0.00","0",""
"KUM00001","6","441312","Police officer","Y","944.23","106095","08/07/2023"
"KUMA0001","10","","","","0.00","0",""
"KUZM0001","6","423111","Aged carer","Y","1362.09","46797","19/07/2023"
"KVIN0001","0","","","","0.00","0",""
"KWIS0001","10","","","","0.00","0",""
"LACE0001","10","","","","0.00","0",""
"LAIN0001","6","441312","Police officer","Y","1545.91","83951","06/08/2023"
"LALL0001","10","","","","0.00","0",""
"LAMB0001","10","","","","0.00","0",""
"LAMB0002","10","","","","0.00","0",""
"LAMB0003","0","","","","0.00","0",""
"LAMI0001","10","","","","0.00","0",""
"LANE0001","10","","","","0.00","0",""
"LANG0001","10","","","","0.00","0",""
"LANG0002","6","441312","Police officer","Y","1227.78","120019","14/07/2023"
"LAUG0001","6","441312","Police officer","Y","2721.07","127287","19/07/2023"
"LAVE0546","10","","","","0.00","0",""
"LAWR0001","10","","","","0.00","0",""
"LEE00001","10","","","","0.00","0",""
"LEE00002","6","441312","Police officer","Y","451.49","103753","22/07/2023"
"LEE00003","10","","","","0.00","0",""
"LEE00004","10","","","","0.00","0",""
"LEEA0001","10","","","","0.00","0",""
"LEGG0001","10","","","","0.00","0",""
"LEIG0001","6","441312","Police officer","Y","1076.15","95559","19/07/2023"
"LEIT0001","10","","","","0.00","0",""
"LEMI0001","10","","","","0.00","0",""
"LEMO0001","10","","","","0.00","0",""
"LENI0001","0","","","","0.00","0",""
"LEPR0001","6","441312","Police officer","Y","2411.38","104476","19/07/2023"
"LEVI0001","0","","","","0.00","0",""
"LEVY0001","10","","","","0.00","0",""
"LEVY0002","10","","","","0.00","0",""
"LEWI0001","10","","","","0.00","0",""
"LIAK0001","10","","","","0.00","0",""
"LICA0001","6","441312","Police officer","Y","1706.59","133519","26/07/2023"
"LIM00001","10","","","","0.00","0",""
"LIM0001","4","225113","Marketing specialist","Y","3006.58","89314",""
"LIND0001","0","","","","0.00","0",""
"LIUZ0001","10","","","","0.00","0",""
"LOCK0001","6","441312","Police officer","Y","1647.04","100197","19/07/2023"
"LOCK0002","6","441312","Police officer","Y","264.39","112595","09/08/2023"
"LOCK0003","10","","","","0.00","0",""
"LOCK0004","6","712213","Mining blasting worker","Y","1225.98","103924","05/08/2023"
"LOFA0001","6","441312","Police officer","Y","1053.62","137442","02/08/2023"
"LOGA0001","10","","","","0.00","0",""
"LONE0001","6","441312","Police officer","Y","1994.89","107822","30/07/2023"
"LONG0001","10","","","","0.00","0",""
"LORD0001","10","","","","0.00","0",""
"LOVE0001","6","441312","Police officer","Y","23.11","104700","05/08/2023"
"LOWE0001","10","","","","0.00","0",""
"LOWE0002","10","","","","0.00","0",""
"LUEB0001","6","441312","Police officer","Y","9027.50","103129","22/07/2023"
"LUO00001","0","","","","0.00","0",""
"LYMA0001","10","","","","0.00","0",""
"LYON0001","6","441312","Police officer","Y","812.51","92657","11/08/2023"
"MABO0001","10","","","","0.00","0",""
"MACA0001","0","","","","0.00","0",""
"MACD0001","10","","","","0.00","0",""
"MACD0002","0","","","","0.00","0",""
"MACK0001","0","","","","0.00","0",""
"MAFF0001","6","441312","POLICE OFFICER","Y","855.32","127267","07/08/2023"
"MAGD0001","10","","","","0.00","0",""
"MAHE0001","6","254111","Nurse","Y","2459.58","68761","14/07/2023"
"MAHE0002","10","","","","0.00","0",""
"MANC0001","10","","","","0.00","0",""
"MAND0001","6","441312","Police officer","Y","1882.69","100201","10/07/2023"
"MANN0001","6","441312","Police officer","Y","1847.97","79476","09/08/2023"
"MANN0002","10","","","","0.00","0",""
"MARC0001","6","441312","Police officer","Y","276.93","87569","22/07/2023"
"MARS0001","10","","","","0.00","0",""
"MARS0003","10","","","","0.00","0",""
"MART0001","6","441312","Police officer","Y","2065.07","46411","19/07/2023"
"MART0002","6","441312","Police officer","Y","7372.35","108184","22/07/2023"
"MATF0001","0","","","","0.00","0",""
"MATH0001","10","","","","0.00","0",""
"MATH0002","1","","","Y","1260.38","56726",""
"MATT0001","6","441312","Police officer","Y","553.25","107891","19/07/2023"
"MAXW0001","6","441312","Police officer","Y","882.18","109315","06/08/2023"
"MAYN0001","10","","","","0.00","0",""
"MAYO0001","10","","","","0.00","0",""
"MCAR0001","6","441312","Police officer","Y","1647.60","110812","10/07/2023"
"MCCL0001","6","441312","Police officer","Y","922.41","91906","19/07/2023"
"MCCO0001","6","441312","Police officer","","377.30","111240","28/07/2023"
"MCCO0002","0","","","","0.00","0",""
"MCCU0001","10","","","","0.00","0",""
"MCCU0002","6","441312","Police officer","Y","4584.98","81716","08/07/2023"
"MCDO0001","6","441312","Police officer","Y","662.89","81989","07/08/2023"
"MCDO0002","6","441312","Police officer","Y","4356.84","61706","22/07/2023"
"MCDO0003","0","","","","0.00","0",""
"MCGE0001","10","","","","0.00","0",""
"MCGI0001","10","","","","0.00","0",""
"MCGI0002","10","","","","0.00","0",""
"MCKA0001","4","441312","Police officer","Y","1021.73","95217",""
"MCKE0001","10","","","","0.00","0",""
"MCKE0002","10","","","","0.00","0",""
"MCKE0003","10","","","","0.00","0",""
"MCKI0001","10","","","","0.00","0",""
"MCKI0002","6","441312","Police officer","Y","5575.35","86630","08/07/2023"
"MCKI0003","6","441312","Police officer","Y","1206.26","88721","14/07/2023"
"MCKI0004","6","441312","Police officer","Y","2033.60","109067","10/07/2023"
"MCPH0001","10","","","","0.00","0",""
"MCQU0001","10","","","","0.00","0",""
"MCRA0001","10","","","","0.00","0",""
"MEDW0001","6","441312","Police officer","Y","19964.82","143262","10/07/2023"
"MEHM0001","6","441312","Police officer","Y","1303.40","83473","19/07/2023"
"MEHM0002","6","441312","Police officer","Y","1001.73","96530","19/07/2023"
"MEND0001","10","","","","0.00","0",""
"MEND0002","10","","","","0.00","0",""
"MERE0001","10","","","","0.00","0",""
"MERE0002","10","","","","0.00","0",""
"MERR0001","10","","","","0.00","0",""
"MEST0001","6","441312","Police officer","Y","1026.51","96349","22/07/2023"
"MICA0001","6","441312","Police officer","Y","6037.61","93249","11/08/2023"
"MICH0001","10","","","Y","4507.90","126440",""
"MIGL0001","0","","","","0.00","0",""
"MIGL0002","10","","","Y","876.50","4080",""
"MIGL0003","0","","","Y","876.50","4080",""
"MILL0001","6","252411","Therapist - occupational","","1753.40","65787","19/07/2023"
"MILL0002","6","441312","Police officer","Y","512.76","98919","22/07/2023"
"MILL0003","10","441312","Police officer","","0.00","0",""
"MITC0001","6","441312","Police officer","Y","1356.94","98977","19/07/2023"
"MITC0002","10","","","","1458.75","121997",""
"MITC0003","10","","","","0.00","0",""
"MOLO0001","10","","","","1540.70","124049",""
"MOLO0002","10","","","Y","392.70","29533",""
"MOOD0001","6","441312","Police officer","Y","2716.77","94462","22/07/2023"
"MOOR0001","10","441312","Police officer","","0.00","0",""
"MOOR0002","10","","","","1557.50","117428",""
"MOOR0003","6","441312","Police officer","Y","12407.54","91702","11/08/2023"
"MOPI0001","10","","","","1386.15","115690",""
"MORE0001","6","441312","Police officer","Y","2238.77","110879","14/07/2023"
"MORF0001","6","521111","Executive assistant","Y","590.71","66682","22/07/2023"
"MORG0001","10","","","","1925.05","135876",""
"MORO0001","10","","","","1324.90","106383",""
"MORP0001","6","441312","Police officer","Y","1005.82","85488","19/07/2023"
"MORR0001","10","","","","1070.15","110703",""
"MORS0001","0","","","","0.00","0",""
"MOSS0001","10","","","","1013.85","107520",""
"MOSS0002","6","422116","Teachers","Y","8080.94","103442","08/07/2023"
"MOSS0003","6","441312","Police officer","Y","1017.60","110243","08/07/2023"
"MULL0001","10","","","","696.10","126013",""
"MUNZ0001","10","","","","2380.10","119233",""
"MURP0001","6","441312","Police officer","Y","504.84","129087","22/07/2023"
"MURP0002","6","441312","Police officer","Y","6816.40","94746","22/07/2023"
"MURR0001","10","","","","0.00","0",""
"MURR0002","0","","","","0.00","0",""
"NAGA0001","10","","","","0.00","0",""
"NAID0001","10","","","","0.00","0",""
"NALA0001","0","","","","0.00","0",""
"NAMU0001","6","441312","Police officer","Y","6000.89","98851","19/07/2023"
"NASH0001","10","","","","0.00","0",""
"NAYL0001","10","","","","0.00","0",""
"NEIL0001","6","441312","Police officer","Y","889.40","83709","19/07/2023"
"NELS0001","10","","","","0.00","0",""
"NESB0001","10","441312","Police officer","","0.00","0",""
"NEWL0001","6","561913","Projects & Enforcement- parking","Y","518.18","89556","14/07/2023"
"NEWM0001","6","441312","Police officer","Y","1794.23","92385","07/08/2023"
"NEWN0001","10","","","","0.00","0",""
"NEWT0001","6","441312","Police officer","Y","320.75","122879","10/07/2023"
"NICH0001","10","","","","0.00","0",""
"NICH0002","1","","","Y","6472.32","56912",""
"NICH0003","6","511112","Bylaws officer","Y","4326.96","77221","11/08/2023"
"NICO0001","10","","","","0.00","0",""
"NIEM0001","6","441312","Police officer","Y","2221.76","118621","22/07/2023"
"NISH0001","10","","","","0.00","0",""
"NOBL0001","10","","","","0.00","0",""
"NOLA0001","10","","","","0.00","0",""
"NOLA0002","10","","","","0.00","0",""
"NORT0001","10","","","","0.00","0",""
"NOVI0001","10","","","","0.00","0",""
"NUGE0001","10","","","","0.00","0",""
"NUNN0001","10","","","","0.00","0",""
"OAKL0001","6","441312","Police officer","Y","467.63","122342","26/07/2023"
"OAKL0002","6","331211","Shop fitter","Y","584.14","97475","26/07/2023"
"OBR0001","10","","","","0.00","0",""
"OCON0001","10","","","","0.00","0",""
"ODON0001","0","","","","0.00","0",""
"ODWY0001","6","441312","Police officer","Y","807.33","71715","19/07/2023"
"OKAN0001","10","","","","0.00","0",""
"OLIV0001","10","","","","0.00","0",""
"OMEA0001","6","441312","Police officer","Y","12017.74","125820","06/08/2023"
"ONEI0001","10","","","","0.00","0",""
"OROZ0001","10","","","","0.00","0",""
"OSBO0001","10","361199","Animal  management","Y","526.12","96821",""
"OSHA0001","10","","","","0.00","0",""
"OSHE0003","0","","","","0.00","0",""
"OSOR0001","6","441312","Police officer","","984.35","97850","19/07/2023"
"OSTR0001","6","441312","Police officer","Y","2004.17","60769","28/07/2023"
"OSUL0001","10","441312","Police officer","","4490.35","100677",""
"OSUL0002","6","111311","Council worker","Y","5065.87","85783","26/07/2023"
"OSUL0003","10","254111","Nurse","Y","404.75","82201",""
"OTTE0001","10","","","","0.00","0",""
"OWEN0001","6","441312","Police officer","Y","4545.22","90553","14/07/2023"
"OWEN0002","10","","","","0.00","0",""
"PABL0001","10","","","","0.00","0",""
"PAGU0001","10","","","","0.00","0",""
"PAJO0001","6","241111","School teacher","Y","609.92","41804","28/07/2023"
"PAJO0002","6","441312","Police officer","Y","6641.33","114194","06/08/2023"
"PALI0001","10","","","","0.00","0",""
"PAPA0001","10","","","","0.00","0",""
"PAPA0002","6","241111","Kindergarten teacher","Y","7876.10","32990","14/07/2023"
"PARA0001","10","","","","0.00","0",""
"PARK0001","0","","","","0.00","0",""
"PARK0002","0","","","","0.00","0",""
"PARK0003","10","","","","0.00","0",""
"PARR0001","0","","","","0.00","0",""
"PATA0001","6","441312","Police officer","Y","7014.20","90240","08/07/2023"
"PATE0001","0","","","","0.00","0",""
"PATE0002","0","","","","0.00","0",""
"PATE0003","10","","","","0.00","0",""
"PATE0004","10","","","","0.00","0",""
"PATI0001","10","","","","0.00","0",""
"PATR0001","6","441312","Police officer","Y","6476.09","97746","19/07/2023"
"PATT0001","10","","","","0.00","0",""
"PAUL0001","6","441312","Police officer","Y","3262.66","132006","22/07/2023"
"PAUL0002","6","441312","Police officer","Y","5055.00","16464","22/07/2023"
"PAWA0001","10","","","","0.00","0",""
"PAXI0001","10","","","","0.00","0",""
"PEDE0001","10","","","","0.00","0",""
"PEKS0001","6","441312","Police officer","Y","407.93","84465","22/07/2023"
"PELL0001","10","","","","0.00","0",""
"PENH0001","0","","","","0.00","0",""
"PENH0002","0","","","","0.00","0",""
"PERE0001","10","","","","0.00","0",""
"PETK0001","6","431411","Hotel service Manager-Drive through","Y","2183.00","25966","28/07/2023"
"PETT0001","10","","","","0.00","0",""
"PHIL0001","0","","","","0.00","0",""
"PIAT0001","10","","","","0.00","0",""
"PIET0001","6","441312","Police officer","Y","1743.97","106109","19/07/2023"
"PLAU0001","10","","","","0.00","0",""
"PLAU0002","10","","","","0.00","0",""
"PLUM0001","10","","","","0.00","0",""
"POIE0001","10","","","","0.00","0",""
"POKI0001","10","","","","0.00","0",""
"POL0005","6","431112","Hospitality employee","Y","5804.94","106514","28/07/2023"
"POLI0001","0","","","","0.00","0",""
"POLI0002","10","","","","4811.70","62677",""
"POLI0003","10","","","","0.00","0",""
"POLI0004","6","611311","Sales Manager- building and plumbing supplies","Y","1004.29","73518","28/07/2023"
"POLL0001","10","","","","0.00","0",""
"POOL0001","10","","","","0.00","0",""
"PORT0001","10","","","","0.00","0",""
"PORT0002","10","","","","0.00","0",""
"PORT0003","10","","","","0.00","0",""
"POST0001","6","441312","Police officer","Y","1888.86","43239","19/07/2023"
"POUD0001","10","","","","0.00","0",""
"POWE0001","10","","","","0.00","0",""
"POWE0002","10","","","","0.00","0",""
"POWE0003","0","","","","0.00","0",""
"POWE0004","6","441312","Police officer","Y","743.45","75819","19/07/2023"
"PRAB0001","6","731211","Bus driver","Y","2706.07","75623","19/07/2023"
"PREN0001","10","","","","0.00","0",""
"PRIC0001","10","","","","0.00","0",""
"PRIC0002","10","","","","0.00","0",""
"PROP0001","0","","","","0.00","0",""
"PROU0001","10","","","","0.00","0",""
"PURK0002","10","","","","0.00","0",""
"PURK0794","10","","","","0.00","0",""
"QUON0001","10","","","","0.00","0",""
"RACE0001","0","","","","0.00","0",""
"RADF0001","10","","","","0.00","0",""
"RAIN0001","6","441312","Police officer","Y","436.77","92857","26/07/2023"
"RAMA0001","10","","","","0.00","0",""
"RANK0001","10","","","","0.00","0",""
"RANS0001","10","","","","0.00","0",""
"RAPA0001","10","","","","0.00","0",""
"RAZA0001","10","","","","0.00","0",""
"READ0001","6","441312","Police officer","Y","2383.43","110735","19/07/2023"
"READ0002","6","441312","Police officer","Y","1409.00","131060","14/07/2023"
"READ0003","6","441312","Police officer","Y","818.70","133070","14/07/2023"
"REDM0001","4","441312","Police officer","Y","837.03","107088",""
"REID0001","6","441312","Police officer","Y","4372.59","76407","14/07/2023"
"REID0002","10","","","","0.00","0",""
"REID0003","6","441312","Police officer","Y","1738.82","134762","26/07/2023"
"REID0004","6","441312","Police officer","Y","772.75","85050","19/07/2023"
"REID0005","10","","","","0.00","0",""
"REID0006","10","","","","0.00","0",""
"RENT0001","0","","","","0.00","0",""
"REPA0001","10","","","","0.00","0",""
"REYN0001","6","441312","Police officer","Y","910.38","106485","14/07/2023"
"REYN0002","5","441312","Police officer","Y","3916.72","104004",""
"REYN0003","6","441211","Emergency service worker","Y","2494.94","115115","11/08/2023"
"RHOD0001","10","","","","0.00","0",""
"RHOD0002","10","","","","0.00","0",""
"RHOD0003","0","","","","0.00","0",""
"RICH0001","10","","","","0.00","0",""
"RICH0002","10","","","","0.00","0",""
"RIES0001","10","","","","0.00","0",""
"RILE0001","0","","","","0.00","0",""
"RIPP0001","10","","","","0.00","0",""
"RITC0001","10","","","","0.00","0",""
"ROBE0001","10","","","","0.00","0",""
"ROBE0002","6","441312","Police officer","Y","1498.02","98582","06/08/2023"
"ROBI0001","10","","","","0.00","0",""
"RODG0001","10","","","","0.00","0",""
"RODG0002","1","","","","452.35","122738",""
"RODR0001","10","","","","0.00","0",""
"RODR0002","10","","","","0.00","0",""
"ROTE0001","1","","","","0.00","0",""
"ROWE0001","10","","","","0.00","0",""
"ROWE0002","10","","","","0.00","0",""
"ROWE0003","6","441312","Police officer","Y","1357.41","90083","26/07/2023"
"ROWE0004","10","","","","0.00","0",""
"ROWE0005","10","","","","0.00","0",""
"ROWE0006","10","","","","0.00","0",""
"RUDD0001","10","","","","0.00","0",""
"RUSH0001","10","","","","0.00","0",""
"RUSS0001","6","441312","Police officer","Y","144.25","59575","06/08/2023"
"RUSS0002","10","","","","0.00","0",""
"RYAL0001","10","","","","0.00","0",""
"RYAN0001","10","","","","0.00","0",""
"SADD0001","10","","","","0.00","0",""
"SAIS0001","10","","","","0.00","0",""
"SALA0001","10","","","","0.00","0",""
"SALA0002","1","511112","Admin officer'-Local Council","Y","814.49","52807",""
"SALD0001","6","441312","Police officer","Y","1113.34","95657","08/07/2023"
"SALE0001","10","","","","0.00","0",""
"SALG0001","6","591115","Stock  & Inventory clerk","Y","3884.84","66303","28/07/2023"
"SALM0001","0","","","","0.00","0",""
"SAMI0001","4","441312","Police officer","Y","743.63","113764",""
"SAMM0001","10","","","","0.00","0",""
"SAND0002","10","","","","0.00","0",""
"SAND0003","10","","","","0.00","0",""
"SANH0001","6","441312","Police officer","Y","3100.28","47602","10/07/2023"
"SANT0001","10","","","","0.00","0",""
"SAUN0001","10","","","","0.00","0",""
"SAUN0002","6","441312","Police officer","Y","6045.77","71934","08/07/2023"
"SCAT0001","10","","","","0.00","0",""
"SCHA0001","10","","","","0.00","0",""
"SCHE0001","0","","","","0.00","0",""
"SCHM0001","6","441312","Police officer","Y","2440.94","197636","10/07/2023"
"SCHM0002","6","441312","Police officer","Y","1356.42","128195","19/07/2023"
"SCHO0001","10","","","","0.00","0",""
"SCHR0001","6","331212","Carpenter","Y","2189.24","77608","19/07/2023"
"SCHR0001","6","331212","Carpenter","Y","2189.24","77608","27/07/2023"
"SCHU0001","10","","","","0.00","0",""
"SCOT0001","10","","","","0.00","0",""
"SEAL0001","6","441312","Police officer","Y","1293.47","120127","14/07/2023"
"SEAL0002","6","939101","Teacher - hairdresser","Y","5651.38","30522","14/07/2023"
"SELB0001","0","","","","0.00","0",""
"SERE0001","10","","","","0.00","0",""
"SEWA0001","10","","","","0.00","0",""
"SEWA0002","10","","","","0.00","0",""
"SHAR0001","10","","","","0.00","0",""
"SHAR0002","6","441312","Police officer","Y","1029.23","88266","19/07/2023"
"SHAW0001","10","","","","0.00","0",""
"SHEA0001","10","","","","0.00","0",""
"SHEA0002","0","","","","0.00","0",""
"SHEA0003","10","","","","0.00","0",""
"SHEP0001","6","","","","670.45","25021","11/07/2023"
"SHEP0002","6","441312","Police officer","Y","975.30","112371","14/07/2023"
"SHER0001","6","441312","Police officer","Y","2350.72","86766","22/07/2023"
"SHER0002","10","","","","0.00","0",""
"SHER0003","10","","","","0.00","0",""
"SHIN0001","6","441312","Police officer","Y","7463.26","102297","19/07/2023"
"SHIN0002","0","","","","0.00","0",""
"SHIP0001","10","","","","0.00","0",""
"SHOR0001","6","254311","Nurse","Y","8340.13","121309","22/07/2023"
"SHRE0001","10","","","","0.00","0",""
"SIDA0001","6","441312","Police officer","Y","7067.45","94899","14/07/2023"
"SILV0001","6","441312","Police officer","Y","1624.30","114321","22/07/2023"
"SIMB0001","10","","","","0.00","0",""
"SIME0001","10","","","","0.00","0",""
"SIMI0001","0","","","","0.00","0",""
"SIMP0001","6","441312","Police officer","Y","1329.16","86877","08/07/2023"
"SING0001","10","","","","0.00","0",""
"SING0002","10","","","","0.00","0",""
"SING0003","10","","","","0.00","0",""
"SINN0001","10","","","","0.00","0",""
"SKEE0001","6","111111","Executive - Assistant","Y","1541.25","25715","09/08/2023"
"SLAT0001","0","","","","0.00","0",""
"SMET0001","10","","","","0.00","0",""
"SMIT0001","10","","","","0.00","0",""
"SMIT0002","10","","","","0.00","0",""
"SMIT0003","6","342312","Communications operator","Y","7009.49","85958","05/08/2023"
"SMIT0004","10","","","","0.00","0",""
"SMIT0005","10","","","","0.00","0",""
"SMIT0006","6","441312","Police officer","Y","13408.83","141514","08/07/2023"
"SMIT0007","10","","","","0.00","0",""
"SMIT0008","10","","","","0.00","0",""
"SMIT0009","0","","","","0.00","0",""
"SMIT0010","6","441312","Police officer","Y","1207.50","77500","19/07/2023"
"SMYT0001","10","","","","0.00","0",""
"SNEL0001","10","441312","Police officer","Y","1050.14","94408",""
"SOLE0001","0","","","","0.00","0",""
"SOSN0001","5","441312","Police officer","","57.70","94864",""
"SOTA0001","6","441312","Police officer","Y","1851.94","110928","22/07/2023"
"SPEN0001","10","","","","0.00","0",""
"SPER0001","6","441312","Police officer","Y","5281.68","89184","06/08/2023"
"SPRO0001","6","441312","Police officer","","603.20","132645","14/07/2023"
"SQUI0001","10","","","","0.00","0",""
"STAF0001","10","","","","0.00","0",""
"STAI0001","0","","","","0.00","0",""
"STAP0001","10","","","","0.00","0",""
"STAP0002","6","441312","Police officer","Y","677.40","103294","19/07/2023"
"STAR0001","10","","","","0.00","0",""
"STEE0001","10","","","","0.00","0",""
"STEE0002","6","441312","Police officer","Y","9024.21","112722","19/07/2023"
"STEP0001","6","441312","Police officer","Y","881.46","111161","22/07/2023"
"STEP0002","6","441312","Police officer","Y","7230.96","94652","14/07/2023"
"STEV0001","6","441312","Police officer","Y","1620.65","128165","28/07/2023"
"STEV0002","10","","","","0.00","0",""
"STEV0003","6","441312","Police officer","Y","6835.15","98359","02/08/2023"
"STIN0001","10","","","","0.00","0",""
"STOC0001","10","","","","0.00","0",""
"STOC0002","10","","","","0.00","0",""
"STON0001","10","441312","Police officer","Y","290.40","120240",""
"STOR0001","6","441312","Police officer","Y","1709.74","82937","19/07/2023"
"STRA0001","1","","","Y","1439.30","75971",""
"STRE0943","6","441312","Police officer","Y","4138.88","73944","26/07/2023"
"STUB0001","10","","","","0.00","0",""
"STYL0001","10","","","","0.00","0",""
"SUJA0001","6","441312","Police officer","Y","1070.21","89811","10/07/2023"
"SUMN0001","6","441312","Police officer","Y","2192.94","109896","22/07/2023"
"SUND0001","6","441312","Police officer","Y","4155.31","116394","28/07/2023"
"SUND0002","10","","","Y","710.24","-2061",""
"SUND0003","0","","","","0.00","0",""
"SUTH0003","10","","","","0.00","0",""
"SWAN0001","10","","","","0.00","0",""
"SYRE0001","10","","","","0.00","0",""
"SZAB0001","0","","","","0.00","0",""
"SZUL0001","10","","","","0.00","0",""
"TALI0001","10","","","","0.00","0",""
"TAM00001","10","","","","0.00","0",""
"TAM0001","10","","","","0.00","0",""
"TANN0001","6","441312","Police officer","","210.95","109297","19/07/2023"
"TAPA0001","10","","","","0.00","0",""
"TARI0001","0","","","","0.00","0",""
"TATE0001","0","","","","0.00","0",""
"TAWS0001","0","","","","0.00","0",""
"TAYL0001","10","","","","0.00","0",""
"TAYL0002","10","","","","0.00","0",""
"TAYL0003","6","441312","Police officer","Y","2884.32","70973","22/07/2023"
"TAYL0004","10","","","","0.00","0",""
"TAYL0005","0","","","","0.00","0",""
"TAYL0006","10","","","","0.00","0",""
"TAYL0007","0","","","","0.00","0",""
"TAYL0008","6","441312","Police officer","Y","1627.41","106506","22/07/2023"
"TAYL0009","6","272511","Social worker","Y","2550.80","63539","08/07/2023"
"TAYL0010","6","441312","Police officer","Y","720.89","102373","22/07/2023"
"TAYL0011","10","","","","0.00","0",""
"TAYL0012","10","","","","0.00","0",""
"TBA0001","6","441312","Police officer","Y","4852.48","102256","02/08/2023"
"TEMP0001","10","","","","0.00","0",""
"THEV0001","10","","","","0.00","0",""
"THOM0001","10","","","","0.00","0",""
"THOM0002","6","441312","Police officer","Y","1740.90","90820","07/08/2023"
"THOM0003","0","","","","0.00","0",""
"THOM0004","10","","","","0.00","0",""
"THOM0006","10","","","","0.00","0",""
"THOM0007","6","441312","Police officer","Y","576.65","99201","11/08/2023"
"THOM0008","0","","","","0.00","0",""
"THOM009","10","","","","0.00","0",""
"THOR0001","10","","","","0.00","0",""
"THOR0002","1","131112","Sales rep","Y","328.06","88114",""
"TIMM0001","10","","","","0.00","0",""
"TIMM0002","10","","","","0.00","0",""
"TIMS0001","10","","","","0.00","0",""
"TIMS0002","10","","","","0.00","0",""
"TINI0001","6","441312","Police officer","Y","1253.95","107141","22/07/2023"
"TONG0001","10","","","","0.00","0",""
"TOOM0001","10","441312","Police officer","Y","2023.16","125533",""
"TREL0001","6","441312","Police officer","Y","954.07","108834","22/07/2023"
"TREN0001","10","","","","0.00","0",""
"TRIA0001","10","","","","0.00","0",""
"TSAL0001","0","","","","0.00","0",""
"TSAR0001","0","","","","0.00","0",""
"TSEK0001","0","","","","0.00","0",""
"TSER0001","6","441312","Police officer","Y","1723.61","91696","28/07/2023"
"TUCK0001","6","441312","Police officer","Y","2114.15","103159","14/07/2023"
"TUDO0001","10","","","","0.00","0",""
"TUHO0001","6","441312","Police officer","Y","1204.47","81903","22/07/2023"
"TURN0001","6","441312","Police officer","Y","3161.92","98664","11/08/2023"
"TURN0002","10","","","","0.00","0",""
"TURN0003","10","","","","0.00","0",""
"TURN0004","10","","","","0.00","0",""
"TURN0005","10","","","","190.90","99043",""
"TYLE0001","10","","","","0.00","0",""
"UEDI0001","10","","","","0.00","0",""
"UNDE0001","0","","","","0.00","0",""
"UNG00001","6","441312","Police officer","Y","3771.56","84228","19/07/2023"
"VALE0001","10","","","","0.00","0",""
"VALM0001","6","263213","Computing professional - technician","Y","6030.01","48175","09/08/2023"
"VANC0001","10","","","","0.00","0",""
"VANI0001","10","","","","0.00","0",""
"VANR0001","10","","","","0.00","0",""
"VANR0002","10","","","","0.00","0",""
"VANR0003","0","","","","0.00","0",""
"VAUG0001","6","441312","Police officer","Y","6417.25","68612","10/07/2023"
"VAUT0001","6","441312","Police officer","","2538.85","111995","28/07/2023"
"VELL0001","6","441312","Police officer","Y","1350.87","106245","02/08/2023"
"VENN0001","10","","","","0.00","0",""
"VERD0001","6","441312","Police officer","Y","1853.82","113482","22/07/2023"
"VOIS0001","10","","","","0.00","0",""
"VULL0001","10","","","","0.00","0",""
"WAGN0001","10","","","","0.00","0",""
"WAIN0001","10","","","","0.00","0",""
"WALK0001","6","441312","Police officer","Y","1520.44","127504","19/07/2023"
"WALK0002","6","441312","Police officer","Y","3027.75","124637","28/07/2023"
"WALK0003","0","","","","0.00","0",""
